source,target,company,similarity
ratner brian j,ratner james a,FCEA,0.944444
ratner brian j,ratnersalzberg deborah,FCEA,1
ratner james a,ratnersalzberg deborah,FCEA,0.944444
batchelder david h,whitworth ralph v,SPW,1
atwood j richard,landecker mark,DHCP,0.944444
atwood j richard,romick steven t,DHCP,1
atwood j richard,selmo brian a.,DHCP,1
landecker mark,romick steven t,DHCP,0.944444
landecker mark,selmo brian a.,DHCP,0.944444
romick steven t,selmo brian a.,DHCP,1
ong laureen,riddick frank a iii,WWE,0.944444
ong laureen,speed jeffrey r,WWE,0.944444
riddick frank a iii,speed jeffrey r,WWE,0.888889
babel john patrick,marlett wendy l,CAA,0.934709
babel john patrick,stowell scott d,CAA,0.859953
marlett wendy l,mccall jeffrey joseph,CAA,0.827197
marlett wendy l,stowell scott d,CAA,0.922078
mccall jeffrey joseph,stowell scott d,CAA,0.899135
ball susan m.,haugen robert w,CVRR,0.833333
ball susan m.,landreth david lynn,CVRR,0.875
ball susan m.,power martin j,CVRR,0.833333
ball susan m.,walter john r.,CVRR,0.944444
landreth david lynn,walter john r.,CVRR,0.833333
power martin j,walter john r.,CVRR,0.875
southern region workers united/seiu,workers united,AMAL,0.945216
southern region workers united/seiu,workers united canada council,AMAL,1
workers united,workers united canada council,AMAL,0.945216
george marcus j,mcginty kevin j,THR,0.911157
george marcus j,nesser john t iii,THR,0.871212
mcginty kevin j,nesser john t iii,THR,0.876812
berry krista,case thurman k,HELE,1
berry krista,meeker timothy f,HELE,0.820455
berry krista,raff beryl,HELE,0.863636
berry krista,woody darren g,HELE,0.863636
case thurman k,meeker timothy f,HELE,0.820455
case thurman k,raff beryl,HELE,0.863636
case thurman k,woody darren g,HELE,0.863636
meeker timothy f,raff beryl,HELE,0.956522
meeker timothy f,woody darren g,HELE,0.956522
raff beryl,woody darren g,HELE,1
allender patrick w,gayner thomas sinnickson,CFX,0.9
allender patrick w,perfall a clayton,CFX,0.9
gayner thomas sinnickson,perfall a clayton,CFX,1
kelly daniel s,lowe leangela w.,ATKR,0.816714
kelly daniel s,waltz william e jr.,ATKR,0.87954
lamps mark f.,lowe leangela w.,ATKR,0.810346
lamps mark f.,pregenzer john w,ATKR,0.801547
lowe leangela w.,pregenzer john w,ATKR,0.849145
bialy paul,craig jeffrey a,MTOR,0.825918
bialy paul,villavarayan chris,MTOR,0.8725
craig jeffrey a,villavarayan chris,MTOR,0.809855
heffron timothy j.,villavarayan chris,MTOR,0.842275
may peter w,peltz matthew h.,WEN,0.923714
may peter w,peltz nelson,WEN,0.947531
peltz matthew h.,peltz nelson,WEN,0.870866
flynn timothy patrick,hooper michele j,UNH,0.82663
flynn timothy patrick,mcnabb frederick william iii,UNH,0.9375
flynn timothy patrick,montgomery rice valerie md,UNH,1
flynn timothy patrick,noseworthy john h,UNH,0.875
hooper michele j,montgomery rice valerie md,UNH,0.82663
mcnabb frederick william iii,montgomery rice valerie md,UNH,0.9375
mcnabb frederick william iii,noseworthy john h,UNH,0.928571
montgomery rice valerie md,noseworthy john h,UNH,0.875
